Date,Open,High,Low,Close,Adj Close,Volume
8/23/2019,219,237,219,234,234,11
8/26/2019,243.899994,254.100006,243.899994,247.5,247.5,59
8/27/2019,236.399994,236.399994,236.399994,236.399994,236.399994,13
8/28/2019,238.5,238.5,237,237,237,10
8/29/2019,229.5,229.5,229.5,229.5,229.5,0
8/30/2019,229.5,229.5,229.5,229.5,229.5,0
9/3/2019,229.5,229.5,229.5,229.5,229.5,0
9/4/2019,229.5,229.5,229.5,229.5,229.5,7
9/5/2019,229.5,237,228.300003,237,237,11
9/6/2019,237,237,237,237,237,0
9/9/2019,215.100006,215.100006,215.100006,215.100006,215.100006,1
9/10/2019,215.100006,215.100006,215.100006,215.100006,215.100006,0
9/11/2019,200.699997,203.100006,200.699997,203.100006,203.100006,7
9/12/2019,210,213.899994,210,213.899994,213.899994,7
9/13/2019,213.899994,213.899994,213.899994,213.899994,213.899994,0
9/16/2019,190.800003,190.800003,190.800003,190.800003,190.800003,4
9/17/2019,190.800003,190.800003,190.800003,190.800003,190.800003,0
9/18/2019,190.800003,190.800003,190.800003,190.800003,190.800003,0
9/19/2019,171.300003,171.300003,147.600006,147.600006,147.600006,40
9/20/2019,159.899994,159.899994,153,153,153,2
9/23/2019,186,186,155.100006,156,156,445
9/24/2019,159.300003,179.399994,125.699997,126,126,127
9/25/2019,135,148.5,118.800003,138,138,1221
9/26/2019,141.600006,144.300003,129,129,129,382
9/27/2019,135.600006,135.600006,116.400002,119.400002,119.400002,181
9/30/2019,116.400002,143.699997,116.400002,135,135,467
10/1/2019,138.899994,143.399994,129,139.5,139.5,311
10/2/2019,140.399994,146.399994,136.5,136.5,136.5,153
10/3/2019,133.5,138,120,120,120,209
10/4/2019,124.800003,131.699997,124.800003,130.800003,130.800003,39
10/7/2019,140.699997,140.699997,115.800003,120.300003,120.300003,137
10/8/2019,112.199997,121.199997,109.800003,115.800003,115.800003,118
10/9/2019,109.5,117.900002,100.199997,109.199997,109.199997,142
10/10/2019,114,114,99,102.599998,102.599998,76
10/11/2019,102,111.599998,100.5,107.400002,107.400002,180
10/14/2019,116.099998,116.099998,111,111,111,134
10/15/2019,130.5,130.5,102.599998,102.599998,102.599998,57
10/16/2019,99.900002,112.5,87,87,87,150
10/17/2019,87,96,86.400002,95.099998,95.099998,179
10/18/2019,19.02,19.02,19.02,19.02,19.02,0
10/21/2019,115.440002,115.440002,107.160004,114.599998,114.599998,205
10/22/2019,111,115.800003,97.800003,97.919998,97.919998,157
10/23/2019,104.400002,110.160004,93.599998,104.400002,104.400002,197
10/24/2019,98.940002,102.599998,98.400002,102.300003,102.300003,447
10/25/2019,99.059998,102,91.260002,102,102,423
10/28/2019,105,105,88.559998,91.199997,91.199997,390
10/29/2019,87.120003,93,87.120003,90.599998,90.599998,265
10/30/2019,90,93,84.059998,84.360001,84.360001,148
10/31/2019,83.400002,84.599998,81,81,81,38
11/1/2019,81.059998,84,79.199997,84,84,123
11/4/2019,82.440002,93,81,93,93,147
11/5/2019,91.739998,91.739998,91.739998,91.739998,91.739998,5
11/6/2019,88.199997,88.199997,70.800003,75.720001,75.720001,105
11/7/2019,75.599998,75.599998,75.599998,75.599998,75.599998,5
